Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,100n,C_0603_1608Metric,46.317767,40.917767,0,top
C4,100n,C_0603_1608Metric,91.542767,12.417767,180,top
C5,100n,C_0603_1608Metric,58.817767,40.917767,0,top
C6,100n,C_0603_1608Metric,73.817767,40.917767,0,top
C7,100n,C_0603_1608Metric,86.582767,41.085029,0,top
C8,100n,C_0603_1608Metric,15.817767,19.417767,180,top
C9,100n,C_0603_1608Metric,49.627767,15.917767,0,top
C10,100n,C_0603_1608Metric,80.817767,15.917767,180,top
C11,100n,C_0603_1608Metric,102.142767,15.817767,0,top
C12,100n,C_0603_1608Metric,4.042767,31.917767,180,top
D1,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,39.732767,40.867767,180,top
D2,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,54.122767,40.867767,180,top
D3,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,68.512767,40.867767,180,top
D4,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,82.902767,40.867767,180,top
D5,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,107.317767,15.867767,0,top
D6,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,76.679434,15.867767,0,top
D7,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,46.0411,15.867767,0,top
D8,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,15.402767,15.867767,0,top
D9,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,4.617767,34.367767,0,top
D10,SM4007,D_SOD-123,90.317767,10.417767,0,top
Q1,SS8050,SOT-23,85.880267,27.417767,0,top
R1,150R,R_0603_1608Metric,25.992767,15.917767,0,top
R2,150R,R_0603_1608Metric,56.492767,15.917767,0,top
R3,150R,R_0603_1608Metric,89.817767,15.917767,0,top
R4,150R,R_0603_1608Metric,115.992767,15.917767,0,top
R5,150R,R_0603_1608Metric,26.857767,41.085029,0,top
R6,330R,R_0603_1608Metric,3.032767,8.917767,0,top
R7,330R,R_0603_1608Metric,3.767767,6.617767,90,top
R8,330R,R_0603_1608Metric,33.699434,9.770267,0,top
R9,330R,R_0603_1608Metric,33.699434,3.917767,0,top
R10,330R,R_0603_1608Metric,64.3661,9.770267,0,top
R11,330R,R_0603_1608Metric,95.032767,9.770267,0,top
R12,330R,R_0603_1608Metric,95.032767,4.697767,0,top
R13,330R,R_0603_1608Metric,22.317767,25.417767,180,top
R14,330R,R_0603_1608Metric,24.317767,22.917767,180,top
R15,150R,R_0603_1608Metric,33.817767,40.917767,180,top
R16,330R,R_0603_1608Metric,64.3661,4.697767,0,top
R17,1k,R_0603_1608Metric,81.880267,29.267767,90,top
R18,10k,R_0603_1608Metric,81.880267,26.267767,90,top
R19,10,R_0603_1608Metric,54.717767,24.617767,0,top
R20,30,R_0603_1608Metric,58.217767,24.617767,0,top
