Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
A1,RaspberryPi_Pico_Common_THT2,1,RaspberryPi_Pico2,
"C1, C2",CP_Radial_D8.0mm_P3.50mm,2,220uF,
"C10, C11, C12, C3, C4, C5, C6, C7, C8, C9",0603,10,100n,
"D1, D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B-2020_PLCC4_2.0x2.0mm,9,WS2812B-2020,
D10,D_SOD-123,1,SM4007,
"ENC1, ENC2, ENC3, ENC4",RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,4,PEC11R-4015F-S0024,
ENC5,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,EC11,
J1,PinHeader_1x08_P2.54mm_Vertical ST7789_76x284,1,ST7789_76x284,
J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Motor_Socket,
J3,PJ-320A,1,AudioJack4,
Q1,SOT-23,1,SS8050,
"R1, R15, R2, R3, R4, R5",0603,6,150R,
"R10, R11, R12, R13, R14, R16, R6, R7, R8, R9",0603,10,330R,
R17,0603,1,1k,
R18,0603,1,10k,
R19,0603,1,10,
R20,0603,1,30,
